ncm;nac;imp;est;mun
03019490;13.45;21.23;18.00;0.00
03019510;13.45;15.45;18.00;0.00
03019590;13.45;21.23;18.00;0.00
03019911;13.45;15.45;18.00;0.00
03019912;13.45;15.45;18.00;0.00
03019919;13.45;15.45;18.00;0.00
03019991;13.45;21.23;18.00;0.00
03019992;13.45;21.23;18.00;0.00
03019999;13.45;21.23;18.00;0.00
0302;13.45;15.45;0.00;3.08
03021100;13.45;21.23;18.00;0.00
03021300;13.45;21.23;18.00;0.00
03021400;13.45;21.23;18.00;0.00
03021900;13.45;21.23;18.00;0.00
03022100;13.45;21.23;18.00;0.00
03022200;13.45;21.23;18.00;0.00
03022300;13.45;21.23;18.00;0.00
03022400;13.45;21.23;18.00;0.00
03022900;13.45;21.23;18.00;0.00
03023100;13.45;21.23;18.00;0.00
03023200;13.45;21.23;18.00;0.00
03023300;13.45;21.23;18.00;0.00
03023400;13.45;21.23;18.00;0.00
03023500;13.45;21.23;18.00;0.00
03023600;13.45;21.23;18.00;0.00
03023900;13.45;21.23;18.00;0.00
03024100;13.45;21.23;18.00;0.00
03024210;13.45;21.23;18.00;0.00
03024290;13.45;21.23;18.00;0.00
03024300;13.45;21.23;18.00;0.00
03024400;13.45;21.23;18.00;0.00
03024500;13.45;21.23;18.00;0.00
03024600;13.45;21.23;18.00;0.00
03024700;13.45;21.23;18.00;0.00
03024910;13.45;21.23;18.00;0.00
03024990;13.45;21.23;18.00;0.00
03025100;13.45;15.45;18.00;0.00
03025200;13.45;21.23;18.00;0.00
03025300;13.45;21.23;18.00;0.00
03025400;13.45;21.23;18.00;0.00
03025500;13.45;21.23;18.00;0.00
03025600;13.45;21.23;18.00;0.00
03025900;13.45;21.23;18.00;0.00
03027100;13.45;21.23;18.00;0.00
03027210;13.45;21.23;18.00;0.00
03027290;13.45;21.23;18.00;0.00
03027300;13.45;21.23;18.00;0.00
03027400;13.45;21.23;18.00;0.00
03027900;13.45;21.23;18.00;0.00
03028100;13.45;21.23;18.00;0.00
03028200;13.45;21.23;18.00;0.00
03028310;13.45;21.23;18.00;0.00
03028320;13.45;21.23;18.00;0.00
03028400;13.45;21.23;18.00;0.00
03028500;13.45;21.23;18.00;0.00
03028910;13.45;21.23;18.00;0.00
03028921;13.45;21.23;18.00;0.00
03028922;13.45;21.23;18.00;0.00
03028923;13.45;21.23;18.00;0.00
03028924;13.45;21.23;18.00;0.00
03028931;13.45;21.23;18.00;0.00
03028932;13.45;21.23;18.00;0.00
03028933;13.45;21.23;18.00;0.00
03028934;13.45;21.23;18.00;0.00
03028935;13.45;21.23;18.00;0.00
03028936;13.45;21.23;18.00;0.00
03028937;13.45;21.23;18.00;0.00
03028938;13.45;21.23;18.00;0.00
03028941;13.45;21.23;18.00;0.00
03028942;13.45;21.23;18.00;0.00
03028943;13.45;21.23;18.00;0.00
03028944;13.45;21.23;18.00;0.00
03028945;13.45;21.23;18.00;0.00
03028990;13.45;21.23;18.00;0.00
03029110;13.45;21.23;18.00;0.00
03029190;13.45;21.23;18.00;0.00
03029200;13.45;21.23;18.00;0.00
03029900;13.45;21.23;18.00;0.00
0303;13.45;15.45;0.00;3.04
03031100;13.45;21.23;18.00;0.00
03031200;13.45;21.23;18.00;0.00
03031300;13.45;21.23;18.00;0.00
03031400;13.45;21.23;18.00;0.00
03031900;13.45;21.23;18.00;0.00
03032300;13.45;21.23;18.00;0.00
03032410;13.45;21.23;18.00;0.00
03032490;13.45;21.23;18.00;0.00
03032500;13.45;21.23;18.00;0.00
03032600;13.45;21.23;18.00;0.00
03032900;13.45;21.23;18.00;0.00
03033100;13.45;21.23;18.00;0.00
03033200;13.45;21.23;18.00;0.00
03033300;13.45;21.23;18.00;0.00
03033400;13.45;21.23;18.00;0.00
03033900;13.45;21.23;18.00;0.00
03034100;13.45;21.23;18.00;0.00
03034200;13.45;21.23;18.00;0.00
03034300;13.45;21.23;18.00;0.00
03034400;13.45;21.23;18.00;0.00
03034500;13.45;21.23;18.00;0.00
03034600;13.45;21.23;18.00;0.00
03034900;13.45;21.23;18.00;0.00
03035100;13.45;21.23;18.00;0.00
03035300;13.45;15.45;18.00;0.00
03035400;13.45;21.23;18.00;0.00
03035500;13.45;21.23;18.00;0.00
03035600;13.45;21.23;18.00;0.00
03035700;13.45;21.23;18.00;0.00
03035910;13.45;21.23;18.00;0.00
03035920;13.45;21.23;18.00;0.00
03035990;13.45;21.23;18.00;0.00
03036300;13.45;15.45;18.00;0.00
03036400;13.45;21.23;18.00;0.00
03036500;13.45;21.23;18.00;0.00
03036600;13.45;21.23;18.00;0.00
03036700;13.45;21.23;18.00;0.00
03036800;13.45;21.23;18.00;0.00
03036910;13.45;21.23;18.00;0.00
03036990;13.45;21.23;18.00;0.00
03038111;13.45;21.23;18.00;0.00
03038112;13.45;21.23;18.00;0.00
03038113;13.45;21.23;18.00;0.00
03038114;13.45;21.23;18.00;0.00
03038119;13.45;21.23;18.00;0.00
03038190;13.45;21.23;18.00;0.00
03038200;13.45;21.23;18.00;0.00
03038311;13.45;21.23;18.00;0.00
03038319;13.45;21.23;18.00;0.00
03038321;13.45;21.23;18.00;0.00
03038329;13.45;21.23;18.00;0.00
03038400;13.45;21.23;18.00;0.00
03038910;13.45;21.23;18.00;0.00
03038920;13.45;21.23;18.00;0.00
03038932;13.45;21.23;18.00;0.00
03038933;13.45;21.23;18.00;0.00
03038941;13.45;21.23;18.00;0.00
03038942;13.45;21.23;18.00;0.00
03038943;13.45;21.23;18.00;0.00
03038944;13.45;21.23;18.00;0.00
03038945;13.45;21.23;18.00;0.00
03038946;13.45;21.23;18.00;0.00
03038951;13.45;21.23;18.00;0.00
03038952;13.45;21.23;18.00;0.00
03038953;13.45;21.23;18.00;0.00
03038954;13.45;21.23;18.00;0.00
03038955;13.45;21.23;18.00;0.00
03038956;13.45;21.23;18.00;0.00
03038961;13.45;21.23;18.00;0.00
03038962;13.45;21.23;18.00;0.00
03038963;13.45;21.23;18.00;0.00
03038964;13.45;21.23;18.00;0.00
03038965;13.45;21.23;18.00;0.00
03038990;13.45;21.23;18.00;0.00
03039110;13.45;21.23;18.00;0.00
03039190;13.45;21.23;18.00;0.00
03039200;13.45;21.23;18.00;0.00
03039910;13.45;21.23;18.00;0.00
03039920;13.45;21.23;18.00;0.00
03039990;13.45;21.23;18.00;0.00
0304;13.45;15.45;0.00;2.79
03043100;13.45;21.23;18.00;0.00
03043210;13.45;21.23;18.00;0.00
03043290;13.45;21.23;18.00;0.00
03043300;13.45;21.23;18.00;0.00
03043900;13.45;21.23;18.00;0.00
03044100;13.45;21.23;18.00;0.00
03044200;13.45;21.23;18.00;0.00
03044300;13.45;21.23;18.00;0.00
03044400;13.45;21.23;18.00;0.00
03044500;13.45;21.23;18.00;0.00
03044600;13.45;21.23;18.00;0.00
03044700;13.45;21.23;18.00;0.00
03044800;13.45;21.23;18.00;0.00
03044910;13.45;21.23;18.00;0.00
03044920;13.45;21.23;18.00;0.00
03044990;13.45;21.23;18.00;0.00
03045100;13.45;21.23;18.00;0.00
03045200;13.45;21.23;18.00;0.00
03045300;13.45;21.23;18.00;0.00
03045400;13.45;21.23;18.00;0.00
03045500;13.45;21.23;18.00;0.00
03045600;13.45;21.23;18.00;0.00
03045700;13.45;21.23;18.00;0.00
03045900;13.45;21.23;18.00;0.00
03046100;13.45;21.23;18.00;0.00
03046210;13.45;21.23;18.00;0.00
03046290;13.45;21.23;18.00;0.00
03046300;13.45;21.23;18.00;0.00
03046900;13.45;21.23;18.00;0.00
03047100;13.45;21.23;18.00;0.00
03047200;13.45;21.23;18.00;0.00
03047300;13.45;21.23;18.00;0.00
03047400;13.45;21.23;18.00;0.00
03047500;13.45;21.23;18.00;0.00
03047900;13.45;21.23;18.00;0.00
03048100;13.45;21.23;18.00;0.00
03048200;13.45;21.23;18.00;0.00
03048300;13.45;21.23;18.00;0.00
03048400;13.45;21.23;18.00;0.00
03048510;13.45;21.23;18.00;0.00
03048520;13.45;21.23;18.00;0.00
03048600;13.45;21.23;18.00;0.00
03048700;13.45;21.23;18.00;0.00
03048810;13.45;21.23;18.00;0.00
03048890;13.45;21.23;18.00;0.00
03048910;13.45;21.23;18.00;0.00
03048920;13.45;21.23;18.00;0.00
03048930;13.45;21.23;18.00;0.00
03048990;13.45;21.23;18.00;0.00
03049100;13.45;21.23;18.00;0.00
03049211;13.45;21.23;18.00;0.00
03049212;13.45;21.23;18.00;0.00
03049219;13.45;21.23;18.00;0.00
03049221;13.45;21.23;18.00;0.00
03049222;13.45;21.23;18.00;0.00
03049229;13.45;21.23;18.00;0.00
03049300;13.45;21.23;18.00;0.00
03049400;13.45;21.23;18.00;0.00
03049500;13.45;21.23;18.00;0.00
03049600;13.45;21.23;18.00;0.00
03049700;13.45;21.23;18.00;0.00
03049900;13.45;21.23;18.00;0.00
0305;13.45;15.45;0.00;2.47
03052010;13.45;21.23;18.00;0.00
03052090;13.45;21.23;18.00;0.00
03053100;13.45;21.23;18.00;0.00
03053210;13.45;15.45;18.00;0.00
03053220;13.45;21.23;18.00;0.00
03053230;13.45;21.23;18.00;0.00
03053290;13.45;21.23;18.00;0.00
03053900;13.45;21.23;18.00;0.00
03054100;15.65;23.43;18.00;0.00
03054200;15.65;23.43;18.00;0.00
03054300;13.45;21.23;18.00;0.00
03054400;13.45;21.23;18.00;0.00
03054910;15.65;17.65;18.00;0.00
03054920;13.45;21.23;18.00;0.00
03054990;13.45;21.23;18.00;0.00
03055100;15.65;17.65;18.00;0.00
03055200;15.65;23.43;18.00;0.00
03055310;15.65;17.65;18.00;0.00
03055390;15.65;23.43;18.00;0.00
03055400;15.65;23.43;18.00;0.00
03055900;15.65;23.43;18.00;0.00
03056100;15.65;23.43;18.00;0.00
03056200;15.65;17.65;18.00;0.00
03056300;13.45;21.23;18.00;0.00
03056400;13.45;21.23;18.00;0.00
03056910;13.45;21.23;18.00;0.00
03056990;13.45;21.23;18.00;0.00
03057100;13.45;21.23;18.00;0.00
03057200;15.65;23.43;18.00;0.00
03057900;15.65;23.43;18.00;0.00
03061110;13.45;21.23;18.00;0.00
03061190;13.45;21.23;18.00;0.00
03061200;13.45;21.23;18.00;0.00
03061400;13.45;21.23;18.00;0.00
03061500;13.45;21.23;18.00;0.00
03061610;13.45;21.23;18.00;0.00
03061690;13.45;21.23;18.00;0.00
03061710;13.45;21.23;18.00;0.00
03061790;13.45;21.23;18.00;0.00
03061910;13.45;21.23;18.00;0.00
03061990;13.45;21.23;18.00;0.00
03063100;13.45;21.23;18.00;0.00
03063200;13.45;21.23;18.00;0.00
03063300;13.45;21.23;18.00;0.00
03063400;13.45;21.23;18.00;0.00
03063500;13.45;21.23;18.00;0.00
03063600;13.45;21.23;18.00;0.00
03063910;13.45;21.23;18.00;0.00
03063990;13.45;21.23;18.00;0.00
03069100;13.45;21.23;18.00;0.00
03069200;13.45;21.23;18.00;0.00
03069300;13.45;21.23;18.00;0.00
03069400;13.45;21.23;18.00;0.00
03069500;13.45;21.23;18.00;0.00
03069910;13.45;21.23;18.00;0.00
03069990;13.45;21.23;18.00;0.00
03071100;13.45;21.23;18.00;0.00
